№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания
35247;12013БС;Кондратович Трофим Серафимович;Отклонено;Второй;97,7;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;серебряная медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:11
35242;12014БС;Тимофеевская Галина Петровна;В приказ;Первый;90,9;Юрфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,1;без отличия;да;;да;да;нет;03.07.2019 15:08
35243;12015БС;Владимировская Анна Кирилловна;Отклонено;Первый;91,44;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,36;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:09
35246;12015БС;Владимировская Анна Кирилловна;Отклонено;Второй;87,44;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (английский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,36;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:10
35244;12016БС;Дмитриенко Ксения Андреeвна;Отклонено;Первый;87,46;Биофак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,74;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:10
35245;12017БС;Дмитриева Галина Александровна;В приказ;Первый;66,12;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;54.03.01;Дизайн;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,53;без отличия;да;;да;да;нет;03.07.2019 15:10
35248;12018БС;Владимировский Андрей Петрович;Отклонено;Первый;91,66;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.03;Управление персоналом;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,54;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:11
35250;12018БС;Владимировский Андрей Петрович;Отклонено;Второй;91,66;УНИЭК;очная;Нормативный;4 года 00 мес.;1 (первый) курс;27.03.2005;Инноватика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,54;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:12
35251;3152М;Тимофеев Иннокентий Глебович;В приказ;Первый;95,8;Юрфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;83,98;без отличия;да;;да;да;нет;03.07.2019 15:12
35252;12019БС;Дмитриева Мария Трофимовна;В приказ;Первый;88,08;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,47;без отличия;да;;да;да;нет;03.07.2019 15:12
35257;12019БС;Дмитриева Мария Трофимовна;Отклонено;Второй;88,08;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2004;Программная инженерия;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,47;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:15
35263;3153М;Владимирович Людмила Ивановна;Отклонено;Второй;73,89;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.08;Финансы и кредит;Магистратура;Магистры;Диплом бакалавра;79,47;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:16
35253;3153М;Владимирович Людмила Ивановна;В приказ;Первый;73,89;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.08;Финансы и кредит;Магистратура;Магистры;Диплом бакалавра;79,47;без отличия;да;;да;да;нет;03.07.2019 15:13
35254;4196У;Иннокентиевский Терентий Терентиeвич;В приказ;Первый;69,12;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,39;без отличия;да;;да;да;нет;03.07.2019 15:13
35256;4196У;Иннокентиевский Терентий Терентиeвич;Отклонено;Второй;69,12;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,39;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:14
35255;12020БС;Борисовский Александр Андреeвич;В приказ;Первый;91,42;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,48;без отличия;да;;да;да;нет;03.07.2019 15:13
35259;12020БС;Борисовский Александр Андреeвич;Отклонено;Второй;91,42;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,48;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:15
35258;12021БС;Андреевич Тамара Серафимовна;Отчислен;Первый;97,08;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,27;без отличия;нет;;нет;да;нет;03.07.2019 15:15
35260;12022БС;Дмитриевский Андрей Игнатович;Отменено;Первый;80,88;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,82;без отличия;да;22.июн;да;да;нет;03.07.2019 15:16
35264;12022БС;Дмитриевский Андрей Игнатович;Отменено;Второй;87,38;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;51.03.01;Культурология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,82;без отличия;да;22.июн;да;да;нет;03.07.2019 15:19
40550;12022БС;Дмитриевский Андрей Игнатович;В приказ;Первый;80,88;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Славянская филология);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;3,82;без отличия;да;;да;да;нет;29.07.2019 10:54
35261;12023БС;Алексеевский Терентий Кондратович;Отклонено;Первый;88,56;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,34;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:16
35262;12024БС;Глебовская Ксения Николаeвна;В приказ;Первый;98,76;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (немецкий язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,69;без отличия;да;;да;да;нет;03.07.2019 15:16
35265;12025БС;Андреевский Степан Борисович;В приказ;Первый;104,0;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (немецкий язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;03.07.2019 15:19
35266;12025БС;Андреевский Степан Борисович;Отклонено;Второй;101,0;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:20
35267;3154М;Степановская Ирина Кирилловна;В приказ;Первый;70,7;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Русский язык: теоретические и практические аспекты);Магистратура;Магистры;Диплом бакалавра;83,5;без отличия;да;;да;да;нет;03.07.2019 15:20
35274;3154М;Степановская Ирина Кирилловна;Отклонено;Второй;70,7;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Русский язык: теоретические и практические аспекты);Магистратура;Магистры;Диплом бакалавра;83,5;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:23
35268;3155М;Александренко Кирилл Игнатович;Отменено;Первый;72,59;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.03;Управление персоналом;Магистратура;Магистры;Диплом бакалавра;85,95;без отличия;да;Абитуриент забрал документы;да;да;нет;03.07.2019 15:20
40995;3155М;Александренко Кирилл Игнатович;В приказ;Первый;72,69;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.03;Управление персоналом;Магистратура;Магистры;Диплом бакалавра;85,95;без отличия;да;;нет;да;нет;03.09.2019 11:34
35270;12026БС;Андреевич Яна Кирилловна;Отклонено;Первый;97,3;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;серебряная медаль;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:21
35272;12026БС;Андреевич Яна Кирилловна;Отклонено;Второй;97,3;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.02;Менеджмент (Профиль: Маркетинг);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;серебряная медаль;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:22
35271;12027БС;Степаненко Вера Андреeвна;Отклонено;Первый;79,66;Пединститут;очная;Нормативный;4 года 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:22
35273;3193ПВ;Кириллович Надежда Владимировна;В приказ;Первый;88,3;Филфак;заочная;Нормативный;4 года 00 мес.;4 (четвертый) курс;42.03.04;Телевидение;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,58;без отличия;нет;;нет;да;нет;03.07.2019 15:23
35278;12028БС;Степановская Надежда Ивановна;Отклонено;Второй;103,9;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:25
35275;12028БС;Степановская Надежда Ивановна;В приказ;Первый;103,9;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.03;Управление персоналом;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;03.07.2019 15:23
35276;3156М;Алексеенко Иннокентий Андреeвич;Аннулировано;Первый;66,61;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономика предприятий);Магистратура;Магистры;Диплом бакалавра;82,93;без отличия;да;;да;да;нет;03.07.2019 15:23
35277;3156М;Алексеенко Иннокентий Андреeвич;Аннулировано;Второй;66,61;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономика предприятий);Магистратура;Магистры;Диплом бакалавра;82,93;без отличия;да;;нет;да;нет;03.07.2019 15:25
35281;3156М;Алексеенко Иннокентий Андреeвич;В приказ;Третий;84,11;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.04;Государственное и муниципальное управление;Магистратура;Магистры;Диплом бакалавра;82,93;без отличия;да;;да;да;нет;03.07.2019 15:27
35279;3157М;Кириллович Инна Семеновна;Отклонено;Первый;63,8;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;76,48;без отличия;да;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:26
35280;12029БС;Серафимовский Борис Игнатович;Отклонено;Первый;77,84;Биофак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.2001;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,21;без отличия;нет;Забрал документы;да;да;нет;03.07.2019 15:26
35289;12030БС;Иванович Кирилл Андреeвич;Отклонено;Второй;102,2;Юрфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:31
35282;12030БС;Иванович Кирилл Андреeвич;Отчислен;Первый;102,2;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.05;Международные отношения;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;03.07.2019 15:29
35283;12031БС;Владимировский Кирилл Петрович;В приказ;Первый;107,0;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;03.07.2019 15:30
35284;12032БС;Кирилленко Кондрат Николаeвич;В приказ по квоте;Первый;82,7;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,05;без отличия;да;;да;нет;нет;03.07.2019 15:30
35285;3194ПВ;Борисенко Элеонора Иннокентиeвна;В приказ;Первый;92,1;Экономфак;заочная;Нормативный;4 года 6 мес.;2 (второй) курс;38.03.03;Управление персоналом;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;4,71;без отличия;нет;;нет;да;нет;03.07.2019 15:30
35286;12033БС;Кириллович Николай Борисович;Отклонено;Первый;72,56;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,04;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:30
35290;12033БС;Кириллович Николай Борисович;Допущено;Второй;72,56;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,04;без отличия;нет;;да;да;нет;03.07.2019 15:31
35287;4197У;Николаенко Александр Глебович;В приказ;Первый;69,36;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,12;без отличия;да;;да;да;нет;03.07.2019 15:30
35288;4197У;Николаенко Александр Глебович;Отклонено;Второй;69,36;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,12;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:31
35291;12034БС;Тимофеева Просковья Иннокентиeвна;В приказ;Первый;97,6;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.05;Международные отношения;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;серебряная медаль;да;;да;да;нет;03.07.2019 15:32
35294;12034БС;Тимофеева Просковья Иннокентиeвна;Отклонено;Второй;97,6;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.04;Политология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;серебряная медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:33
35295;12035БС;Дмитриевич Елена Тимофеeвна;В приказ;Второй;89,94;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.04;Политология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;да;;да;да;нет;03.07.2019 15:33
35292;12035БС;Дмитриевич Елена Тимофеeвна;Аннулировано;Первый;89,94;Истфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;41.03.05;Международные отношения;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,86;без отличия;да;;да;да;нет;03.07.2019 15:32
35293;12036БС;Кирилловский Игнат Дмитриeвич;В приказ;Первый;66,86;ИФКС;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;85,8;без отличия;да;;да;да;нет;03.07.2019 15:33
35296;12037БС;Трофимова Софья Дмитриeвна;Отклонено;Первый;87,1;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:36
35299;12037БС;Трофимова Софья Дмитриeвна;Отклонено;Второй;87,1;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;без отличия;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:36
35300;12038БС;Андреевич Лилия Владимировна;Отклонено;Второй;100,7;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2001;Математика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:37
35297;12038БС;Андреевич Лилия Владимировна;В приказ;Первый;100,7;ФМИТ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;01.03.2002;Прикладная математика и информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;золотая медаль;да;;да;да;нет;03.07.2019 15:36
35298;3158М;Ивановская Марина Семеновна;В приказ;Первый;66,06;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;82,79;без отличия;да;;да;да;нет;03.07.2019 15:36
35304;3158М;Ивановская Марина Семеновна;Отклонено;Второй;66,06;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;82,79;без отличия;да;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:39
35301;4198У;Владимиров Глеб Кириллович;В приказ;Первый;72,44;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;10.03.2001;Информационная безопасность;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,58;без отличия;да;;да;да;нет;03.07.2019 15:38
35303;4198У;Владимиров Глеб Кириллович;Отклонено;Второй;72,44;Физтех;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;09.03.2001;Информатика и вычислительная техника;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,58;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:39
35320;3159М;Владимировская Лидия Борисовна;В приказ;Второй;70,15;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Украинский язык и литература);Магистратура;Магистры;Диплом бакалавра;73,23;без отличия;да;;да;да;нет;03.07.2019 15:50
35329;3159М;Владимировская Лидия Борисовна;Отклонено;Третий;70,15;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;45.04.03;Фундаментальная и прикладная лингвистика;Магистратура;Магистры;Диплом бакалавра;73,23;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;нет;да;нет;03.07.2019 16:00
35302;3159М;Владимировская Лидия Борисовна;Аннулировано;Первый;70,15;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.03;Фундаментальная и прикладная лингвистика;Магистратура;Магистры;Диплом бакалавра;73,23;без отличия;да;;да;да;нет;03.07.2019 15:39
35305;12039БС;Петрова Ольга Семеновна;В приказ;Первый;64,16;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,04;без отличия;да;;да;да;нет;03.07.2019 15:40
35306;4199У;Андреева Марина Ивановна;Допущено;Первый;87,92;Экономфак;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;54.03.01;Дизайн;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,94;без отличия;да;;нет;да;нет;03.07.2019 15:42
35308;4199У;Андреева Марина Ивановна;В приказ;Второй;87,92;Экономфак;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;54.03.01;Дизайн;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,94;без отличия;да;;нет;да;нет;03.07.2019 15:43
35307;3160М;Кириллович Кондрат Терентиeвич;В приказ по квоте;Первый;75,56;Истфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;46.04.01;История;Магистратура;Магистры;Диплом бакалавра;82,8;без отличия;да;;да;нет;нет;03.07.2019 15:43
35309;12040БС;Семенович Ксения Андреeвна;В приказ;Первый;93,9;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,45;без отличия;да;;да;да;нет;03.07.2019 15:44
35310;12040БС;Семенович Ксения Андреeвна;Отклонено;Второй;93,9;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,45;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:45
35311;12041БС;Николаенко Серафима Владимировна;В приказ;Первый;92,7;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;5,0;без отличия;да;;нет;да;нет;03.07.2019 15:45
35312;12042БС;Иванов Николай Борисович;Отклонено;Первый;99,1;Экономфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.01;Экономическая безопасность;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;серебряная медаль;нет;Отказался от участия в конкурсе;да;нет;нет;03.07.2019 15:45
35314;12042БС;Иванов Николай Борисович;Отклонено;Второй;99,1;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,95;серебряная медаль;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:46
35313;12043БС;Трофименко Мария Дмитриeвна;Отчислен;Первый;76,14;ИФКС;очная;Нормативный;4 года 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;85,2;без отличия;да;;да;да;нет;03.07.2019 15:45
35315;12044БС;Александровская Лилия Андреeвна;В приказ;Первый;89,92;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;;да;да;нет;03.07.2019 15:46
35318;12044БС;Александровская Лилия Андреeвна;Отклонено;Второй;89,92;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,73;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:49
35316;3161М;Ивановский Владимир Николаeвич;В приказ;Первый;87,99;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;54.04.01;Дизайн;Магистратура;Магистры;Диплом бакалавра;92,45;с отличием;да;;да;да;нет;03.07.2019 15:47
35317;4200У;Борисенко Инна Александровна;В приказ;Первый;70,72;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,89;без отличия;да;;да;да;нет;03.07.2019 15:49
35319;3162М;Терентиев Терентий Кириллович;В приказ;Первый;62,79;Юрфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;73,94;без отличия;да;;да;да;нет;03.07.2019 15:49
35321;3163М;Серафимович Петр Кириллович;В приказ;Первый;98,41;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;54.04.01;Дизайн;Магистратура;Магистры;Диплом бакалавра;93,04;с отличием;да;;да;да;нет;03.07.2019 15:52
35322;3164М;Кондратович Тамара Андреeвна;В приказ;Первый;78,26;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;91,3;с отличием;да;;да;да;нет;03.07.2019 15:55
35323;3164М;Кондратович Тамара Андреeвна;Отклонено;Второй;78,26;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;91,3;с отличием;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:56
35324;4201У;Борисович Иннокентий Дмитриeвич;В приказ;Первый;65,92;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;3,74;без отличия;да;;да;да;нет;03.07.2019 15:57
35325;12045БС;Андреенко Яна Ивановна;Отклонено;Первый;89,36;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:58
35328;12045БС;Андреенко Яна Ивановна;Отклонено;Второй;89,36;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:59
35332;12045БС;Андреенко Яна Ивановна;Отклонено;Третий;89,36;Филфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 16:02
